season,name,position,GW,minutes,total_points,expected_goals,expected_assists,clean_sheets,saves,bps,value,team_difficulty,opponent_difficulty,target_next_gw
22-23,Aaron Hickey,DEF,1.0,83,1,0.0,0.0,0,0.0,8,50,3,3,6.0
22-23,Aaron Hickey,DEF,2.0,79,6,0.0,0.0,1,0.0,19,50,3,3,0.0
22-23,Aaron Hickey,DEF,3.0,59,0,0.0,0.0,0,0.0,3,50,2,3,1.0
22-23,Aaron Hickey,DEF,4.0,90,1,0.0,0.0,0,0.0,10,50,2,3,1.0
22-23,Aaron Hickey,DEF,5.0,78,1,0.0,0.0,0,0.0,17,50,2,3,0.0
22-23,Aaron Hickey,DEF,6.0,90,0,0.0,0.0,0,0.0,7,50,2,3,1.0
22-23,Aaron Hickey,DEF,8.0,90,1,0.0,0.0,0,0.0,14,50,4,3,0.0
22-23,Aaron Hickey,DEF,9.0,29,0,0.0,0.0,0,0.0,-2,50,2,3,3.0
22-23,Aaron Hickey,DEF,10.0,82,3,0.0,0.0,0,0.0,14,50,4,3,0.0
22-23,Aaron Hickey,DEF,22.0,60,6,0.03,0.01,1,0.0,19,49,2,3,0.0
22-23,Aaron Hickey,DEF,24.0,75,2,0.03,0.01,0,0.0,13,49,2,3,5.0
22-23,Aaron Hickey,DEF,26.0,90,5,0.02,0.01,0,0.0,18,49,2,3,2.0
22-23,Aaron Hickey,DEF,27.0,73,2,0.0,0.19,0,0.0,16,49,2,3,5.0
22-23,Aaron Hickey,DEF,27.0,90,5,0.0,0.0,1,0.0,15,49,2,3,4.0
22-23,Aaron Hickey,DEF,28.0,90,4,0.0,0.04,0,0.0,23,49,3,3,0.0
22-23,Aaron Hickey,DEF,29.0,90,0,0.0,0.0,0,0.0,0,49,3,3,1.0
22-23,Aaron Hickey,DEF,29.0,15,1,0.02,0.01,0,0.0,2,49,4,3,1.0
22-23,Aaron Hickey,DEF,30.0,73,1,0.0,0.0,0,0.0,11,49,3,3,1.0
22-23,Aaron Hickey,DEF,31.0,73,1,0.0,0.0,0,0.0,9,49,2,3,2.0
22-23,Aaron Hickey,DEF,32.0,90,2,0.12,0.0,0,0.0,6,49,2,3,1.0
22-23,Aaron Hickey,DEF,33.0,1,1,0.0,0.0,0,0.0,3,49,4,3,2.0
22-23,Aaron Hickey,DEF,34.0,90,2,0.02,0.07,0,0.0,14,49,2,3,2.0
22-23,Aaron Hickey,DEF,35.0,87,2,0.0,0.01,0,0.0,5,49,4,3,5.0
22-23,Aaron Hickey,DEF,36.0,84,5,0.07,0.03,1,0.0,23,49,2,3,5.0
22-23,Aaron Hickey,DEF,37.0,88,5,0.0,0.06,0,0.0,23,49,4,3,6.0
22-23,Aaron Ramsdale,GK,1.0,90,6,0.0,0.0,1,2.0,25,50,2,4,1.0
22-23,Aaron Ramsdale,GK,2.0,90,1,0.0,0.0,0,1.0,10,50,3,4,6.0
22-23,Aaron Ramsdale,GK,3.0,90,6,0.0,0.0,1,1.0,20,50,2,4,2.0
22-23,Aaron Ramsdale,GK,4.0,90,2,0.0,0.0,0,2.0,12,50,2,4,2.0
22-23,Aaron Ramsdale,GK,5.0,90,2,0.0,0.0,0,2.0,13,50,2,4,2.0
22-23,Aaron Ramsdale,GK,6.0,90,2,0.0,0.0,0,3.0,14,50,4,4,6.0
22-23,Aaron Ramsdale,GK,8.0,90,6,0.0,0.0,1,2.0,24,49,3,4,2.0
22-23,Aaron Ramsdale,GK,9.0,90,2,0.0,0.0,0,2.0,12,49,3,4,1.0
22-23,Aaron Ramsdale,GK,10.0,90,1,0.0,0.0,0,2.0,15,49,4,4,10.0
22-23,Aaron Ramsdale,GK,11.0,90,10,0.0,0.0,1,4.0,32,49,2,4,2.0
22-23,Aaron Ramsdale,GK,13.0,90,2,0.0,0.0,0,2.0,12,49,2,4,6.0
22-23,Aaron Ramsdale,GK,14.0,90,6,0.0,0.0,1,2.0,24,49,2,4,6.0
22-23,Aaron Ramsdale,GK,15.0,90,6,0.0,0.0,1,1.0,21,49,4,4,6.0
22-23,Aaron Ramsdale,GK,16.0,90,6,0.0,0.00014,1,2.0,24,49,2,4,3.0
22-23,Aaron Ramsdale,GK,17.0,90,3,0.0,0.01222,0,3.0,14,49,2,4,2.0
22-23,Aaron Ramsdale,GK,18.0,90,2,0.0,0.00053,0,3.0,15,49,3,4,6.0
22-23,Aaron Ramsdale,GK,19.0,90,6,0.0,0.00165,1,1.0,22,49,3,4,11.0
22-23,Aaron Ramsdale,GK,20.0,90,11,0.0,0.00044,1,7.0,36,49,4,4,1.0
22-23,Aaron Ramsdale,GK,21.0,90,1,0.0,0.00121,0,2.0,8,49,3,4,3.0
22-23,Aaron Ramsdale,GK,22.0,90,3,0.0,0.0,0,3.0,14,49,2,4,2.0
22-23,Aaron Ramsdale,GK,23.0,90,2,0.0,0.0,0,1.0,10,49,3,4,1.0
22-23,Aaron Ramsdale,GK,23.0,90,1,0.0,0.0,0,2.0,15,49,5,4,2.0
22-23,Aaron Ramsdale,GK,24.0,90,2,0.0,0.0,0,3.0,14,49,2,4,6.0
