season,name,position,GW,minutes,total_points,expected_goals,expected_assists,expected_goals_conceded,clean_sheets,saves,bps,value,team_difficulty,opponent_difficulty,is_home,target_next_gw,next_team_difficulty,next_opponent_difficulty,avg_pts_last3,avg_min_last3,avg_pts_last5,avg_min_last5,xgi,avg_xgi_last5,clean_sheets_last5
22-23,Aaron Cresswell,DEF,8,90,2,0.0,0.0,0.0,0,0,13,48,2,2,0,5.0,2.0,3.0,2.667,83.667,2.2,86.2,0.0,0.0,1.0
22-23,Aaron Cresswell,DEF,9,90,5,0.0,0.0,0.0,1,0,21,48,2,3,1,2.0,2.0,3.0,3.333,83.667,2.4,86.2,0.0,0.0,1.0
22-23,Aaron Cresswell,DEF,10,90,2,0.0,0.0,0.0,0,0,20,48,2,3,1,3.0,2.0,2.0,3.0,83.667,3.0,86.2,0.0,0.0,2.0
22-23,Aaron Cresswell,DEF,11,90,3,0.0,0.0,0.0,0,0,19,48,2,2,0,2.0,4.0,2.0,3.0,90.0,3.4,86.2,0.0,0.0,2.0
22-23,Aaron Cresswell,DEF,12,90,2,0.0,0.0,0.0,0,0,23,48,4,2,0,8.0,2.0,3.0,3.333,90.0,2.8,86.2,0.0,0.0,1.0
22-23,Aaron Cresswell,DEF,13,90,8,0.0,0.0,0.0,1,0,33,48,2,3,1,2.0,4.0,2.0,2.333,90.0,2.8,90.0,0.0,0.0,1.0
22-23,Aaron Cresswell,DEF,14,90,2,0.0,0.0,0.0,0,0,15,48,4,2,0,1.0,2.0,3.0,4.333,90.0,4.0,90.0,0.0,0.0,2.0
22-23,Aaron Cresswell,DEF,15,90,1,0.0,0.0,0.0,0,0,12,48,2,3,1,1.0,3.0,3.0,4.0,90.0,3.4,90.0,0.0,0.0,1.0
22-23,Aaron Cresswell,DEF,16,90,1,0.0,0.20854,1.776,0,0,19,48,3,3,1,1.0,4.0,2.0,3.667,90.0,3.2,90.0,0.209,0.0,1.0
22-23,Aaron Cresswell,DEF,17,90,1,0.0,0.00897,2.1036,0,0,7,48,4,2,0,1.0,3.0,3.0,1.333,90.0,2.8,90.0,0.009,0.042,1.0
22-23,Aaron Cresswell,DEF,18,90,1,0.0305,0.06226,1.6274,0,0,17,48,3,3,1,1.0,2.0,2.0,1.0,90.0,2.6,90.0,0.093,0.044,1.0
22-23,Aaron Cresswell,DEF,19,22,1,0.0,0.00336,0.6746,0,0,3,48,2,2,0,2.0,2.0,2.0,1.0,90.0,1.2,90.0,0.003,0.062,0.0
22-23,Aaron Cresswell,DEF,20,90,2,0.0328,0.09947,0.8366,0,0,15,48,2,2,0,0.0,2.0,3.0,1.0,67.333,1.0,76.4,0.132,0.063,0.0
22-23,Aaron Cresswell,DEF,25,45,1,0.0,0.13,0.31,0,0,4,47,2,3,1,0.0,2.0,3.0,1.333,67.333,1.2,76.4,0.13,0.089,0.0
22-23,Aaron Cresswell,DEF,29,2,1,0.0,0.0,0.0,0,0,3,47,2,3,1,0.0,2.0,2.0,1.333,52.333,1.2,67.4,0.0,0.073,0.0
22-23,Aaron Cresswell,DEF,30,90,8,0.0,0.13,0.68,1,0,27,47,2,2,0,0.0,4.0,3.0,1.333,45.667,1.2,49.8,0.13,0.072,0.0
22-23,Aaron Cresswell,DEF,31,90,0,0.04,0.08,2.82,0,0,7,47,4,3,1,12.0,2.0,2.0,3.333,45.667,2.6,49.8,0.12,0.079,1.0
22-23,Aaron Cresswell,DEF,32,90,12,0.04,0.26,1.14,1,0,37,47,2,2,0,1.0,4.0,3.0,3.0,60.667,2.4,63.4,0.3,0.102,1.0
22-23,Aaron Cresswell,DEF,33,90,1,0.0,0.08,2.0,0,0,11,47,4,3,1,1.0,2.0,2.0,6.667,90.0,4.4,63.4,0.08,0.136,2.0
22-23,Aaron Cresswell,DEF,34,45,1,0.0,0.0,1.09,0,0,6,47,2,2,0,1.0,5.0,2.0,4.333,90.0,4.4,72.4,0.0,0.126,2.0
22-23,Aaron Cresswell,DEF,34,90,1,0.0,0.01,2.32,0,0,14,47,5,2,0,6.0,3.0,3.0,4.667,75.0,4.4,81.0,0.01,0.126,2.0
